feature_id	name	feature_class	county	map_name	lat	lon	source_lat	source_lon
1518431	Cushman Hill	Summit	Mason	Hoodsport	47.432741	-123.248553		
1528538	Dahlberg Mountain	Summit	Snohomish	Riley Lake	48.135374	-121.954006		
1518470	Damnation Peak	Summit	Whatcom	Damnation Peak	48.670832	-121.385266		
1518487	Dark Mountain	Summit	Skamania	McCoy Peak	46.276757	-121.770264		
1518488	Dark Peak	Summit	Chelan	Agnes Mountain	48.254646	-120.881776		
1518490	Darland Mountain	Summit	Yakima	Darland Mountain	46.513797	-121.209852		
1504324	Dart Hill	Summit	Spokane	Dartford	47.780281	-117.404126		
1512138	Davis Hill	Summit	Pierce	Fort Lewis	47.097943	-122.595769		
1512937	Davis Hill	Summit	Lewis	Violet Prairie	46.750768	-122.972460		
1531433	Davis Mountain	Summit	Lewis	Purcell Mountain	46.580944	-121.801872		
1504344	Davis Peak	Summit	Cowlitz	Ariel	45.993245	-122.596556		
1518510	Davis Peak	Summit	Kittitas	Davis Peak	47.447811	-121.078726		
1518511	Davis Peak	Summit	Whatcom	Diablo Dam	48.729571	-121.202887		
1510696	Day Mountain	Summit	Spokane	Mount Kit Carson	47.928652	-117.145409		
1518520	Day Mountain	Summit	Stevens	Kentry Ridge	48.456411	-118.118564		
1518523	Dayton Peak	Summit	Mason	Shelton Valley	47.189063	-123.223917		
1518542	Deadhorse Hill	Summit	Yakima	Cliffdell	46.989088	-121.124792		
1518548	Deadman Hill	Summit	Stevens	Kentry Ridge	48.378575	-118.051311		
1512139	Deadman Peak	Summit	Columbia	Deadman Peak	46.067530	-117.938513		
1518552	Deadmans Hill	Summit	Clallam	Deadmans Hill	48.097250	-124.198098		
1512141	Deep River Hill	Summit	Wahkiakum	Upper Naselle River	46.380933	-123.689022		
1504405	Deer Butte	Summit	Yakima	Willy Dick Canyon	46.303728	-120.975058		
1518637	Deer Lake Mountain	Summit	Stevens	Deer Lake	48.082944	-117.604940		
1512142	Deer Mountain	Summit	Stevens	Turtle Lake	47.996658	-118.017700		
1518644	Deer Mountain	Summit	Pend Oreille	Metaline	48.797937	-117.445105		
1518645	Deer Mountain	Summit	Chelan	Chelan Falls	47.861564	-119.978324		
1518646	Deer Mountain	Summit	Stevens	Addy	48.351838	-117.762178		
1518661	Dege Peak	Summit	Pierce	White River Park	46.918459	-121.610689		
1530855	Del Campo Peak	Summit	Snohomish	Monte Cristo	47.990862	-121.470375		
1533558	Denman Peak	Summit	Lewis	Mount Rainier East	46.757377	-121.743412		
1518675	Dennie Ahl Hill	Summit	Mason	Lightning Peak	47.401311	-123.268180		
1514753	Denny Hill (historical)	Summit	King	Seattle South	47.609821	-122.332071		
1531437	Denny Mountain	Summit	King	Snoqualmie Pass	47.438964	-121.443967		
1518679	Dent Mountain	Summit	Okanogan	Rat Lake	48.247008	-119.804030		
1518686	Desolation Peak	Summit	Whatcom	Hozomeen Mountain	48.911322	-121.016542		
1512146	Devils Butte	Summit	Snohomish	Maltby	47.854675	-122.065477		
1518705	Devils Dome	Summit	Whatcom	Jack Mountain	48.824411	-120.919089		
1518712	Devils Horn	Summit	Yakima	Pinegrass Ridge	46.517770	-121.365429		
1518713	Devils Kitchen	Summit	Chelan	Prince Creek	48.144939	-120.437897		
1513098	Devils Mountain	Summit	Skagit	Conway	48.364892	-122.268361		
1504461	Devils Peak	Summit	Cowlitz	Woodland	45.965811	-122.733726		
1518718	Devils Peak	Summit	Okanogan	Robinson Mountain	48.735823	-120.613510		
1518719	Devils Peak	Summit	Snohomish	Silverton	48.120222	-121.561371		
1518724	Devils Smoke Stack	Summit	Chelan	Saska Peak	48.030520	-120.719912		
1518726	Devils Table	Summit	Yakima	Meeks Table	46.775054	-121.046623		
1518727	Devils Thumb	Summit	Snohomish	Helena Ridge	48.128604	-121.548542		
1518731	Devore Peak	Summit	Chelan	Mount Lyall	48.276609	-120.765000		
